doc_id|term_str|n|tfidf|sentiment|sentiment_weighted_count
36|talk|7|38.48877159537513|1.0|7.0
37|fall|1|5.8285445438887775|-1.0|-1.0
37|force|1|5.48750762605371|-1.0|-1.0
37|jump|1|7.898933871780176|1.0|1.0
37|sense|1|4.434265604776731|1.0|1.0
38|aggression|3|31.6283701846647|-1.0|-3.0
38|angry|3|24.45141791632842|-1.0|-3.0
38|cute|4|39.831310243334975|1.0|4.0
38|delighted|1|11.5427900615549|1.0|1.0
38|general|1|4.60615212255233|1.0|1.0
38|grab|1|8.294862548111315|-1.0|-1.0
38|wan|1|10.220861966667538|-1.0|-1.0
39|aggressive|1|7.842350343413808|-1.0|-1.0
39|competition|1|6.988201209877262|-1.0|-1.0
39|crazy|2|16.91065444060912|-1.0|-2.0
39|losing|1|6.957827560833744|-1.0|-1.0
39|money|5|16.048173556221418|1.0|5.0
39|pool|1|8.083358442917604|1.0|1.0
39|real|1|4.248169312663273|1.0|1.0
39|risky|1|6.842350343413808|-1.0|-1.0
39|secretive|1|10.957827560833744|-1.0|-1.0
39|strength|1|7.083358442917603|1.0|1.0
39|succeed|1|8.635899465946382|1.0|1.0
40|buddy|1|10.957827560833744|1.0|1.0
40|careful|1|6.787902559391432|1.0|1.0
40|crash|1|8.294862548111315|-1.0|-1.0
40|emergency|1|6.003631250446869|-1.0|-1.0
40|fairly|1|7.083358442917603|1.0|1.0
40|fully|1|5.76143034803024|1.0|1.0
