term_str|n|max_pos|max_pos_group|p|i|df|dfidf|porter_stem|stop|sentiment
loneliness|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|loneli|False|-1.0
lonely|3|RB|ADV|3.457643293382186e-06|18.14177952782024|3|54.42533858346072|lone|False|-1.0
longevity|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|longev|False|1.0
loot|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|loot|False|-1.0
lord|9|NNP|NOUN|1.0372929880146558e-05|16.556817027099083|9|149.01135324389173|lord|False|0.0
lose|158|VB|VERB|0.0001821025467847|12.42296128036429|131|1627.4079277277222|lose|False|-1.0
losing|50|VBG|VERB|5.762738822303643e-05|14.08288583876667|48|675.9785202608001|lose|False|-1.0
loss|226|NN|NOUN|0.0002604757947681|11.906563066126209|144|1714.545081522174|loss|False|-1.0
lost|80|VBN|VERB|9.220382115685827e-05|13.404813933654031|71|951.7417892894364|lost|False|-1.0
loudness|6|NN|NOUN|6.915286586764372e-06|17.141779527820237|4|68.56711811128095|loud|False|-1.0
lounge|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|loung|False|-1.0
love|41|VBP|VERB|4.725445834288987e-05|14.369190023923313|34|488.5524608133926|love|False|1.0
lovely|2|JJ|ADJ|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|love|False|1.0
loving|4|NN|NOUN|4.610191057842914e-06|17.726742028541395|4|70.90696811416558|love|False|1.0
lower|373|JJR|ADJ|0.0004299003161438|11.183710208286156|272|3041.9691766538344|lower|False|-1.0
lowering|11|VBG|VERB|1.2678025409068016e-05|16.2673104099041|10|162.67310409904098|lower|False|-1.0
lowest|24|JJS|ADJ|2.7661146347057487e-05|15.14177952782024|21|317.977370084225|lowest|False|-1.0
loyal|7|JJ|ADJ|8.0678343512251e-06|16.91938710648379|6|101.51632263890274|loyal|False|1.0
loyalty|8|NN|NOUN|9.220382115685828e-06|16.726742028541395|8|133.81393622833116|loyalti|False|1.0
luck|31|NN|NOUN|3.5728980698282586e-05|14.772545718154518|30|443.1763715446356|luck|False|1.0
lucky|10|JJ|ADJ|1.1525477644607286e-05|16.404813933654033|10|164.04813933654032|lucki|False|1.0
lump|28|NN|NOUN|3.22713374049004e-05|14.91938710648379|22|328.2265163426434|lump|False|-1.0
lumpy|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|lumpi|False|-1.0
lunacy|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|lunaci|False|-1.0
lure|2|NN|NOUN|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|lure|False|-1.0
lurking|1|VBG|VERB|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|lurk|False|-1.0
luscious|2|JJ|ADJ|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|lusciou|False|1.0
lust|2|NN|NOUN|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|lust|False|-1.0
luxury|11|NN|NOUN|1.2678025409068016e-05|16.2673104099041|11|178.94041450894508|luxuri|False|1.0
lying|11|VBG|VERB|1.2678025409068016e-05|16.2673104099041|11|178.94041450894508|lie|False|-1.0
lynch|1|NNP|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|lynch|False|-1.0
mad|8|JJ|NOUN|9.220382115685828e-06|16.726742028541395|7|117.08719419978976|mad|False|-1.0
madness|2|NN|NOUN|2.305095528921457e-06|18.726742028541395|2|37.45348405708279|mad|False|-1.0
mafia|2|NN|NOUN|2.305095528921457e-06|18.726742028541395|1|18.726742028541395|mafia|False|-1.0
magical|15|JJ|ADJ|1.728821646691093e-05|15.819851432932875|15|237.29777149399317|magic|False|1.0
magnet|50|NN|NOUN|5.762738822303643e-05|14.08288583876667|16|225.3261734202667|magnet|False|1.0
magnetism|5|NN|NOUN|5.762738822303643e-06|17.404813933654033|3|52.2144418009621|magnet|False|1.0
magnificent|1|JJ|ADJ|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|magnific|False|1.0
maiden|1|JJ|ADJ|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|maiden|False|1.0
main|273|JJ|ADJ|0.0003146455396977|11.633984887621542|257|2989.9341161187363|main|False|1.0
mainstay|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|mainstay|False|1.0
major|141|JJ|ADJ|0.0001625092347889|12.5871906761426|116|1460.1141184325418|major|False|1.0
majority|52|NN|NOUN|5.993248375195789e-05|14.026302310400302|45|631.1836039680136|major|False|1.0
makeshift|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|makeshift|False|-1.0
malady|1|NN|NOUN|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|maladi|False|-1.0
malaria|6|NN|NOUN|6.915286586764372e-06|17.141779527820237|4|68.56711811128095|malaria|False|-1.0
malevolent|1|JJ|ADJ|1.1525477644607286e-06|19.726742028541395|1|19.726742028541395|malevol|False|-1.0
